latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
39.175977,-77.748843,015,033,1492,2887,2025-01-24,1546,L9,L,D
39.175985,-77.748496,015,033,1493,2887,2025-01-24,1546,L9,M,D
39.178179,-76.030216,015,033,6441,2982,2025-01-24,1546,L9,H,D
39.189908,-76.241241,015,033,5834,2931,2025-01-24,1546,L9,L,D
39.190175,-76.241593,015,033,5833,2930,2025-01-24,1546,L9,L,D
39.190178,-76.241245,015,033,5834,2930,2025-01-24,1546,L9,H,D
39.208216,-77.455157,015,033,2341,2792,2025-01-24,1546,L9,L,D
39.225281,-77.84528,015,033,1220,2696,2025-01-24,1546,L9,H,D
39.225551,-77.845291,015,033,1220,2695,2025-01-24,1546,L9,L,D
39.389581,-76.392473,015,033,5410,2186,2025-01-24,1546,L9,H,D
39.389851,-76.392478,015,033,5410,2185,2025-01-24,1546,L9,H,D
39.443121,-76.222366,015,032,4521,7255,2025-01-24,1546,L9,H,D
39.443121,-76.222366,015,033,5901,1995,2025-01-24,1546,L9,H,D
39.443125,-76.222018,015,033,5902,1995,2025-01-24,1546,L9,M,D
39.443125,-76.222018,015,032,4522,7255,2025-01-24,1546,L9,M,D
39.444611,-75.720357,015,033,7341,2005,2025-01-24,1546,L9,L,D
39.444611,-75.720357,015,032,5961,7265,2025-01-24,1546,L9,L,D
39.444879,-75.720708,015,033,7340,2004,2025-01-24,1546,L9,H,D
39.444879,-75.720708,015,032,5960,7264,2025-01-24,1546,L9,H,D
39.584663,-75.621543,015,032,6248,6749,2025-01-24,1546,L9,M,D
39.591101,-75.630685,015,032,6222,6725,2025-01-24,1546,L9,L,D
39.605727,-77.496047,015,033,2264,1318,2025-01-24,1546,L9,H,D
39.633758,-77.028319,015,033,3605,1248,2025-01-24,1546,L9,L,D
39.633758,-77.028319,015,032,2225,6508,2025-01-24,1546,L9,H,D
39.642719,-75.725205,015,032,5953,6532,2025-01-24,1546,L9,H,D
39.653066,-75.834764,015,032,5640,6491,2025-01-24,1546,L9,L,D
39.680666,-75.86763,015,032,5547,6388,2025-01-24,1546,L9,H,D
39.680937,-75.867633,015,032,5547,6387,2025-01-24,1546,L9,H,D
39.68792,-76.68357,015,033,4595,1068,2025-01-24,1546,L9,H,D
39.68792,-76.68357,015,032,3215,6328,2025-01-24,1546,L9,H,D
39.768142,-76.158043,015,032,4721,6055,2025-01-24,1546,L9,L,D
39.769912,-77.706846,015,032,299,5953,2025-01-24,1546,L9,H,D
39.769912,-77.706846,015,033,1679,693,2025-01-24,1546,L9,L,D
39.76992,-77.706496,015,032,300,5953,2025-01-24,1546,L9,L,D
39.785291,-77.601661,015,033,1981,645,2025-01-24,1546,L9,H,D
39.785291,-77.601661,015,032,601,5905,2025-01-24,1546,L9,H,D
39.793024,-75.722576,015,032,5965,5976,2025-01-24,1546,L9,L,D
